Produktname,SKU,Preis (€),Verfügbarkeit
Apfel,SKU1001,0.99,Ja
Banane,SKU1002,1.49,Ja
Orange,SKU1003,1.29,Ja
Erdbeere,SKU1004,2.99,Ja
Kiwi,SKU1005,0.79,Ja
Ananas,SKU1006,1.99,Ja
Mango,SKU1007,2.49,Ja
Trauben,SKU1008,3.29,Ja
Birne,SKU1009,0.89,Ja
Pfirsich,SKU1010,1.79,Ja
Wassermelone,SKU1011,4.99,Ja
Kirschen,SKU1012,2.79,Ja
Himbeeren,SKU1013,3.49,Ja
Blaubeeren,SKU1014,2.99,Ja
Pflaume,SKU1015,1.69,Ja
Zitrone,SKU1016,0.69,Ja
Grapefruit,SKU1017,1.19,Ja
Granatapfel,SKU1018,2.89,Ja
Passionsfrucht,SKU1019,2.09,Ja
Feige,SKU1020,1.39,Ja
Melone,SKU1021,2.29,Ja
Papaya,SKU1022,3.69,Ja
Guave,SKU1023,1.99,Ja
Kaktusfeige,SKU1024,2.59,Ja
Aprikose,SKU1025,1.49,Ja
Nektarine,SKU1026,1.59,Ja
Litschi,SKU1027,2.79,Ja
Brombeeren,SKU1028,3.99,Ja
Cantaloupe,SKU1029,2.49,Ja
Physalis,SKU1030,2.19,Ja
Rhabarber,SKU1031,1.29,Ja
Maulbeere,SKU1032,2.69,Ja
Goji-Beeren,SKU1033,4.49,Ja
Stachelbeeren,SKU1034,1.99,Ja
Kumquat,SKU1035,1.79,Ja
Drachenfrucht,SKU1036,3.29,Ja
Ackee,SKU1037,3.99,Ja
Durian,SKU1038,5.99,Ja
Jujube,SKU1039,2.09,Ja
Quitten,SKU1040,2.39,Ja
Rote Johannisbeeren,SKU1041,1.89,Ja
Schwarze Johannisbeeren,SKU1042,2.29,Ja
Weiße Johannisbeeren,SKU1043,2.59,Ja
Guanabana,SKU1044,3.49,Ja
Maracuja,SKU1045,1.99,Ja
Guavenkernmehl,SKU1046,8.99,Ja
Mispel,SKU1047,2.09,Ja
Rambutan,SKU1048,3.79,Ja
Kokosnuss,SKU1049,1.99,Ja
Sternfrucht,SKU1050,2.49,Ja
Litschi,SKU1051,3.49,Ja
Kumquat,SKU1052,2.29,Ja
Durian,SKU1053,6.99,Ja
Jackfrucht,SKU1054,4.99,Ja
Cherimoya,SKU1055,3.79,Ja
Soursop,SKU1056,5.49,Ja
Kaktusfeige,SKU1057,2.99,Ja
Rambutan,SKU1058,4.29,Ja
Longan,SKU1059,3.19,Ja
Kiwano,SKU1060,3.99,Ja
Feijoa,SKU1061,2.59,Ja
Pitahaya,SKU1062,4.49,Ja
Tamarillo,SKU1063,2.89,Ja
Pitaya,SKU1064,3.99,Ja
Carambola,SKU1065,2.49,Ja
Marula,SKU1067,6.79,Ja
Buddhas Hand,SKU1068,4.99,Ja
Jabuticaba,SKU1069,7.49,Ja
Monstera,SKU1070,8.99,Ja
Mangostane,SKU1069,5.99,Ja
Tamarinde,SKU1070,3.29,Ja
